11-beta-hydroxylase deficiency	SCTID:124214007
11β-OHD	SCTID:124214007
1°HPT	SCTID:36348003
21-hydroxylase deficiency	SCTID:124221007
21-hydroxylase deficiency	SCTID:698855007
21-OHD	SCTID:124221007
21-OHD	SCTID:698855007
A1ATD	SCTID:30188007
AA amyloidosis	SCTID:274945004
AA	SCTID:306058006
AATD	SCTID:30188007
abdominal adhesions	SCTID:30689000
abdominal, chest, and joint pain	SCTID:21522001
abdominal discomfort/pain	SCTID:43364001
abdominal discomfort	SCTID:43364001
abdominal pain	SCTID:21522001
Abdominal pain	SCTID:21522001
abdominal symptoms	SCTID:11072008
abdominal, thoracic or joint pain	SCTID:21522001
abdominal wall abnormality	SCTID:673571000119102
aberrant course of the facial nerve	SCTID:422426003
aberrant food uptake	SCTID:78164000
aberrations of the nervous system	SCTID:13028004
abetalipoproteinemia	SCTID:190787008
abnormal accumulation of iron	SCTID:60737008
abnormal appearing mitochondria	SCTID:125424006
abnormal bleeding	SCTID:64779008
abnormal blinking	SCTID:249963007
abnormal bone joints	SCTID:164506003
abnormal coagulation	SCTID:64779008
abnormal craniofacial contour	SCTID:268239009
abnormal creases on the hands and feet	SCTID:205557000
abnormal dentition	SCTID:300237004
abnormal development of eccrine sweat glands, teeth, and hair	SCTID:402647004
abnormal development of the abducent nerve	SCTID:398760006
abnormal development	SCTID:21390004
abnormal EEG patterns	SCTID:274521009
abnormal erythrocyte morphology	SCTID:12222001
abnormal facies	SCTID:112630007
abnormal form of hemoglobin	SCTID:8257005
abnormal gait	SCTID:22325002
abnormal growth of hyalinized fibrous tissues	SCTID:263756000
abnormal hair	SCTID:85305001
abnormal Hb	SCTID:3720003
abnormal hemoglobin S	SCTID:50095005
abnormalities (including bone, brain, cancer, dental, eye, gastrointestinal, immunological and lung)	SCTID:8447006
abnormalities in neuronal migration or differentiation	SCTID:253146009
abnormalities in the cardiovascular, skeletal, and ocular systems	SCTID:111970001
abnormalities of eye movements	SCTID:103252009
abnormalities of the choriocapillaris or the RPE	SCTID:421689001
Abnormalities of the musculoskeletal system	SCTID:928000
abnormalities of the skin, nails and mucous membranes	SCTID:95320005
abnormality in iron metabolism	SCTID:30913008
abnormality of eye movements	SCTID:103252009
abnormal joint mobility	SCTID:80598009
abnormal keratinization	SCTID:69707008
abnormal liver function	SCTID:75183008
abnormally large axons	SCTID:125389000
abnormal metabolism	SCTID:165106000
abnormal mitochondria	SCTID:125424006
Abnormal mucociliary clearance	SCTID:233660001
abnormal neuronal migration	SCTID:253146009
abnormal nuclear shape	SCTID:125395004
abnormal or absent teeth	SCTID:64969001
abnormal pigmentation	SCTID:38843008
abnormal platelets	SCTID:127566005
abnormalprotein	SCTID:111995000
abnormal scarring following skin injury	SCTID:48677004
abnormal sensory findings	SCTID:278236003
abnormal shape of the erythrocytes	SCTID:12222001
abnormal skeletal morphology	SCTID:88230002
abnormal skin pigmentation	SCTID:46690002
abnormal skin scaling	SCTID:14411002
abnormal skin	SCTID:225543007
abnormal tissue lipid deposition	SCTID:76409007
abnormal upper limb development	SCTID:298747001
abnormal visual phenotype	SCTID:7973008
absence/defect of lysosomal enzymes	SCTID:23585005
absence of developmental milestones	SCTID:609225004
absence of ears and kidney	SCTID:57436000
absence of GP-MM	SCTID:55912009
absence of motivation	SCTID:89598003
absence of platelet dense bodies	SCTID:9417000
absence of reflexes	SCTID:37280007
absence of spermatogenesis	SCTID:4529005
absence of spleen	SCTID:93030006
absence of the enzyme alpha-L-iduronidase	SCTID:75610003
absence of the iris	SCTID:308726003
absence of the semicircular canals	SCTID:232304008
absence of the uterus and ovaries	SCTID:248942000
absence of vestibular function	SCTID:445053006
absence or dysplasia of ectodermal appendages	SCTID:238714008
absent corpus callosum	SCTID:5102002
absent patella	SCTID:309244002
absent spermatogenesis	SCTID:85716005
absent to very low aGAL activity	SCTID:124464003
acanthocyte	SCTID:250249008
acanthocytes	SCTID:250249008
acanthocytic cell shape	SCTID:250249008
acanthocytosis	SCTID:11376001
acanthocytosis	SCTID:23620008
acanthocytosis	SCTID:250249008
acantholysis	SCTID:43327007
acanthosis nigricans	SCTID:402599005
Acanthosis nigricans	SCTID:402599005
acanthosis	SCTID:23620008
accelerated aging	SCTID:88587007
accelerated atherosclerosis	SCTID:38716007
accelerated loss of retinal ganglion cells	SCTID:58610003
ACC	SCTID:35484002
accumulation of glycoproteins	SCTID:238045003
accumulation of iron	SCTID:60737008
accumulation of iron	SCTID:84182002
accumulation of lipids and glycosphingolipids	SCTID:267431006
accumulation of osteoid	SCTID:46997001
accumulation of sphingomyelin	SCTID:124047009
accumulation of storage material or ceroid	SCTID:27847000
accumulation of ubiquitinated intracytoplasmic inclusions	SCTID:84605001
accumulative deposition of copper	SCTID:46623005
ACDase deficiency	SCTID:79935000
achondroplasia	SCTID:86268005
acidemia	SCTID:70731005
acidosis	SCTID:51387008
acquired deafness	SCTID:721294001
acquired spoken language ability and fine motor function are lost	SCTID:707262008
acral skin blisters	SCTID:247465000
acrochordon	SCTID:31069005
acromesomelic dwarfism	SCTID:279082008
acro-osteolyses	SCTID:27201004
acro-osteolysis	SCTID:27201004
acroosteolysis	SCTID:27201004
Acroosteolysis	SCTID:27201004
acroparaesthesia	SCTID:79256006
acroparesthesia	SCTID:79256006
AC	SCTID:445512009
actinic keratoses	SCTID:46795000
actinic keratosis	SCTID:856006
action potential	SCTID:102978000
activated protein C resistance	SCTID:421527008
activated Protein C resistance	SCTID:421527008
Activated protein C resistance	SCTID:421527008
actor VIII (FVIII) deficiency	SCTID:234440005
actual renal function decline	SCTID:76114004
acute abdomen	SCTID:9209005
acute and chronic hemolysis	SCTID:73320003
acute and chronic inflammation	SCTID:4532008
acute and chronic pain	SCTID:274663001
acute and chronic severe pain	SCTID:274663001
acute and recurrent pancreatitis	SCTID:197458008
acute anemia	SCTID:271737000
acute arthritis	SCTID:11939005
acute bleeding	SCTID:8573003
acute blindness	SCTID:105597003
acute chest syndrome	SCTID:372146004
acute episodes of inflammation	SCTID:23583003
Acute Fe intoxication	SCTID:41071008
acute gout attacks	SCTID:24595009
acute hydrocephalus	SCTID:230745008
Acute ischemic stroke	SCTID:422504002
acute migraine headache	SCTID:445322004
acute myelogenous leukemia	SCTID:17788007
acute or chronic arthritis	SCTID:11939005
acute or chronic hepatitis	SCTID:37871000
acute pain	SCTID:274663001
acute pancreatitis	SCTID:197456007
acute respiratory discomfort syndrome and severe infection	SCTID:67782005
acute respiratory illness	SCTID:195647007
acute vision loss	SCTID:397540003
acute wasting	SCTID:288517002
Addison disease	SCTID:373662000
Addison’s disease without neurological deficits	SCTID:36373200
A deficiency in the enzyme α 1 - L- iduronidaseskin neurofibromas	SCTID:404029005
adenoma	SCTID:443416007
adenoma sebaceum	SCTID:36025004
adenomatous polyposis	SCTID:72900001
ADHD	SCTID:406506008
adrenal androgen excess	SCTID:131074001
Adrenal calcification	SCTID:12286000
adrenal calcifications	SCTID:12286000
adrenal hyperplasia	SCTID:419920004
adrenal hypoplasia congentia	SCTID:93235007
adrenal insufficiency	SCTID:386584007
adrenocortical and testicular insufficiency	SCTID:386584007
adrenocortical insufficiency	SCTID:24867002
adult-onset chorea	SCTID:271700006
affecting the morphology and number of skin appendages	SCTID:238714008
affects cognitive functions	SCTID:386806002
affect the musculoskeletal system	SCTID:928000
ageing	SCTID:248280005
agenesis of the corpus callosum	SCTID:5102002
agenesis of the left kidney	SCTID:55726006
age-related macular degeneration	SCTID:267718000
aggravate inflammatory reactions	SCTID:23583003
aggression	SCTID:61372001
aggressive and autistic-like behaviors	SCTID:61372001
aggressive behavior	SCTID:61372001
aggressive cognitive decline	SCTID:386806002
aggressive or destructive behaviours	SCTID:61372001
aging at an early age	SCTID:88587007
aging phenotype	SCTID:88587007
aging process of skin	SCTID:26065007
aging	SCTID:248280005
Aging	SCTID:248280005
agitation	SCTID:24199005
AGT-deficient	SCTID:25386008
AID deficiency	SCTID:62479008
airway infections	SCTID:54150009
airway obstruction	SCTID:79688008
alanine:glyoxylate aminotransferase (AGT) deficiency	SCTID:25386008
Albinism	SCTID:15890002
alcoholic neuropathy	SCTID:7916009
aldosterone is deficient	SCTID:60086000
alimentary canal obstruction	SCTID:126765001
allergic asthma	SCTID:389145006
allergic conjunctivitis	SCTID:473460002
allergic encephalomyelitis	SCTID:50776006
allergic rhinitis and conjunctivitis	SCTID:61582004
allergic rhinitis	SCTID:61582004
allergic	SCTID:609328004
alopecia areata	SCTID:68225006
alopecia	SCTID:56317004
alpha 1 antitrypsin deficiency	SCTID:30188007
Alpha-1 Antitrypsin Deficiency	SCTID:30188007
alpha-glucosidase deficiency	SCTID:124462004
alterations in cell division and proliferation	SCTID:124978005
alterations of the mitochondrial function	SCTID:133791000119107
altered chromatin organization	SCTID:125516003
altered coagulation	SCTID:64779008
altered craniofacial features	SCTID:268239009
altered dreaming	SCTID:85418005
altered glucose metabolism	SCTID:126877002
altered keratinization	SCTID:69707008
altered mechanical sensation in electrical coupling of the heart conduction system	SCTID:423863005
altered mental status	SCTID:419284004
altered mitochondrial activity	SCTID:125424006
altered sense of smell	SCTID:83156004
ambiguous genitalia	SCTID:21321009
amblyopia	SCTID:387742006
amelogenesis imperfecta	SCTID:78494001
aminoacidemia	SCTID:46556004
aminoacidurea	SCTID:35912001
aminoaciduria	SCTID:35912001
aminoacidurias	SCTID:35912001
AML	SCTID:17788007
amyloid deposition	SCTID:17602002
amyloid depositions	SCTID:68790008
amyloid deposits	SCTID:68790008
amyloid fibrils	SCTID:264502000
amyloidosis	SCTID:17602002
Amyloidosis	SCTID:17602002
amyotrophy	SCTID:88092000
anaemia	SCTID:271737000
anaplastic (WHO grade III)	SCTID:78303004
anemia	SCTID:271737000
Anemia	SCTID:271737000
anemic nevus	SCTID:40929003
anemic status	SCTID:271737000
aneurysm formation	SCTID:85659009
aneurysm rupture	SCTID:22039006
aneurysm	SCTID:85659009
aneurysms	SCTID:432119003
aneurysms	SCTID:85659009
angioedema	SCTID:41291007
angiofibromas or fibrous cephalic plaque	SCTID:302857002
angioid streaks	SCTID:86103006
Angioid streaks	SCTID:86103006
angiokeratoma	SCTID:26810009
angiokeratomas	SCTID:26810009
angioleiomyolipoma of the kidney	SCTID:19929002
angiomas	SCTID:2099007
angle closure glaucoma	SCTID:392291006
anhidrosis	SCTID:39659002
aniridia	SCTID:69278003
anisocytosis	SCTID:57241006
ankle arthrodesis	SCTID:63513005
ankle arthropathy	SCTID:442246002
ankle equinus	SCTID:202290007
ankyloglossia	SCTID:67787004
anomalies of the oral cavity, facial features, digits and developing brain	SCTID:282041002
anomalies of the thumb and heart	SCTID:299130003
anophthalmia	SCTID:7183006
anorexia	SCTID:79890006
anosmia or hyposmia	SCTID:44169009
anosmia	SCTID:44169009
anterior persistent hyperplastic primary vitreous	SCTID:314270008
Anterior segment dysgenesis	SCTID:65075004
antibody deficiency	SCTID:234556002
antithrombin deficiency	SCTID:36351005
antithrombin III deficiency	SCTID:36351005
anxiety	SCTID:48694002
aortic aneurysm	SCTID:67362008
aortic aneurysms	SCTID:67362008
aortic coarctation	SCTID:7305005
aortic dilatation	SCTID:26660001
Aortic dilation	SCTID:26660001
aortic dissection and rupture	SCTID:308546005
aortic dissection	SCTID:308546005
aortic phenotype	SCTID:473451005
aortic plaque calcifications	SCTID:250978003
aortic root atherosclerosis	SCTID:81817003
